,Text_token
125,"['vehicle', 'hijacking', 'one', 'main', 'crimes', 'south', 'africa', 'take', 'free', 'online', 'course', 'learn', 'crime', 'conducted', 'raise', 'situational', 'awareness', 'protect', 'take', 'safe', 'real', 'life', 'decisions', 'take', 'course']"
126,"['tracker', 'vehicle', 'crime', 'index', 'revealed', 'vehicle', 'theft', 'hijacking', 'incidents', 'south', 'africa', 'gone', 'back', 'pre', 'covid', 'levels', 'star919', 'news']"
127,"['public', 'violence', 'part', 'south', 'africa', 'much', 'rugby', 'braaivleis', 'soccer', 'vuvuzelas', 'needs', 'get', 'proper', 'attention', 'house', 'assessor', 'look', 'precautionary', 'measures', 'public', 'violence', 'property', 'hijacking']"
128,"['safety', 'security', 'dont', 'happen', 'result', 'collective', 'consensus', 'public', 'investment', 'owe', 'children', 'vulnerable', 'citizens', 'society', 'life', 'free', 'violence', 'fear', 'nelson', 'manila', 'south', 'africa', 'wrong', 'property', 'hijacking']"
129,"['biggest', 'problem', 'faced', 'south', 'africa', 'respect', 'anything', 'sun', 'including', 'life', 'property', 'hijacking']"
130,"['nigerrianprinxx', 'adv', 'barry', 'roux', 'theres', 'estimated', 'r3million', 'nigerian', 'immigrants', 'country', 'south', 'africa', 'contributing', 'almost', 'nothing', 'economy', 'stress', 'frustration', 'illegally', 'hijacking', 'buildings', 'hijacking', 'sections', 'towns', 'cities', 'selling', 'drugs']"
131,"['hijacking', 'common', 'times', 'days', 'tracker', 'vehicle', 'crime', 'index', 'shared', 'common', 'times', 'days', 'hijacking', 'vehicle', 'thefts', 'south', 'africa']"
132,"['come', 'south', 'africa', 'u', 'want', 'rape', 'steal', 'car', 'hijacking', 'sell', 'drugs', 'operate', 'illegal', 'shop', 'eff', 'support']"
133,"['fmbickton', 'karabodee', 'bonisile', 'rms', 'south', 'africa', 'daily', 'foreigners', 'brings', 'explosives', 'fake', 'doctors', 'raping', 'kids', 'spamming', 'citizens', 'abduction', 'girls', 'using', 'sex', 'slaves', 'hijacking', 'cars', 'buildings', 'drugs', 'etc', 'government', 'calling', 'us', 'xenophobia', 'instead', 'dealing', 'citizens', 'get', 'fight', 'back']"
134,"['vehicle', 'hijacking', 'one', 'main', 'crimes', 'south', 'africa', 'take', 'free', 'online', 'course', 'learn', 'crime', 'conducted', 'raise', 'situational', 'awareness', 'protect', 'take', 'safe', 'real', 'life', 'decisions', 'take', 'course']"
135,"['courier', 'south', 'africa', 'turning', 'armoured', 'trucks', 'guard', 'hijacking', 'via', 'businesstech', 'sa']"
136,"['100percent', 'rea411', 'k', 'marathi', 'jobs', 'agree', 'lung', 'south', 'africa', 'mistake', 'made', 'hijacking', 'socioeconomic', 'structure', 'aka', 'democracy', 'guys', 'created', 'structure', 'better', 'understanding', 'works', 'therefore', 'strive', 'society']"
137,"['simbachitando', 'adding', 'economic', 'downfall', 'unemployment', 'rate', 'exploiting', 'labour', 'laws', 'eversince', 'arrival', 'illegal', 'immigrants', 'south', 'africa', 'never', 'became', 'stealing', 'copper', 'hijacking', 'illegal', 'institutions', 'burning', 'health', 'care', 'systems']"
138,"['approach', 'towards', 'crime', 'security', 'unmatched', 'south', 'africa', 'issn', 'independent', 'security', 'risk', 'assessment', 'property', 'hijacking']"
139,"['crime', 'become', 'major', 'problem', 'south', 'africa', 'africa', 'lets', 'face', 'crime', 'everywhere', 'problem', 'dealing', 'individuals', 'zero', 'respect', 'anything', 'property', 'hijacking']"
140,"['courier', 'south', 'africa', 'turning', 'armoured', 'trucks', 'guard', 'hijacking', 'business', 'tech']"
141,"['criminal', 'found', 'safe', 'south', 'africa', 'law', 'abiding', 'citizens', 'continue', 'offer', 'protection', 'property', 'hijacking']"
142,"['anc', 'govt', 'failing', 'south', 'africa', 'progressthey', 'cause', 'many', 'manageable', 'living', 'conditions', 'countrythe', 'likes', 'car', 'hijackingcrossborder', 'theft', 'high', 'domestic', 'violence', 'rape', 'high', 'illegal', 'foreigners', 'influx', 'literally', 'day', 'lawlessness', 'drugs']"
143,"['si', 'engineering', 'unveiled', 'new', 'b6', 'shotgun', 'v20', 'kit', 'hint', '500', 'truck', 'series', 'developed', 'response', 'sharp', 'increase', 'truck', 'hijacking', 'incidents', 'across', 'south', 'africa']"
144,"['courier', 'south', 'africa', 'turning', 'armoured', 'trucks', 'guard', 'hijacking', 'business', 'tech']"
